titre;marque;modele;version;finition;prix;prix_origine;economie;mensualite;annee;kilometrage;autonomie;carburant;boite;disponibilite;source;lien;modele_unifie;image
MG MG4 Electric 51kWh - 125 kW 2WD;Mg;MG4;Electric 51kWh - 125 kW 2WD;Standard;20 999 €;29 990 €;Économisez 8 991 € (-30%);Dès 195 €/mois;2026;0 km;350km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/mg/mg4/standard/v345576/;MG4;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_655cbb08451c7.jpg
Peugeot 2008 50 kWh - 136ch;Peugeot;2008;50 kWh - 136ch;Active;23 999 €;39 950 €;N/A;Dès 169 €/mois;2025;706 km;320km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/peugeot/2008/active/rv974409/;2008;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/974409/image/normal/peugeot-2008-electrique-active-20260223160009-974409-01-uhd.jpeg
Citroën C3 Aircross Turbo 100 BVM6;Citroen;C3-AIRCROSS;Turbo 100 BVM6;You;16 699 €;20 710 €;Économisez 4 011 € (-19%);Dès 143 €/mois;2026;0 km;N/A;Essence;Manuelle;8 jours;aramisauto;https://www.aramisauto.com/voitures/citroen/c3-aircross/you/v346557/;C3 AIRCROSS;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_695a5e9ca1d26.jpg
Renault R5 Autonomie Confort - 52 kWh - 150 ch;Renault;R5;Autonomie Confort - 52 kWh - 150 ch;Iconic cinq;28 699 €;35 490 €;N/A;Dès 342 €/mois;2025;6 007 km;410km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/r5/iconic-cinq/rv970416/;5;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/970416/image/360/renault-r5-iconic-cinq-20260219071253-970416-100001-uhd.jpg
Renault Symbioz Mild Hybrid 140 ch;Renault;SYMBIOZ;Mild Hybrid 140 ch;Evolution;24 999 €;31 200 €;Économisez 6 201 € (-20%);Dès 193 €/mois;2026;0 km;N/A;Micro-hybride essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/symbioz/evolution/v345552/;SYMBIOZ;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_66d17464634d8.jpg
Tesla MODEL Y 60 kWh - RWD;Tesla;MODEL-Y;60 kWh - RWD;Standard Range;29 999 €;N/A;N/A;Dès 292 €/mois;2023;38 346 km;455km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/tesla/model-y/standard-range/rv966382/;MODEL Y;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/966382/image/360/tesla-model-y-0-20260130102838-966382-100001-uhd.jpg
Citroën C5 Aircross Hybride 136 e-DCS6 Max;Citroen;C5-AIRCROSS;Hybride 136 e-DCS6 Max;Max;24 799 €;N/A;N/A;Dès 186 €/mois;2024;18 589 km;N/A;Micro-hybride essence;Auto.;6 jours;aramisauto;https://www.aramisauto.com/voitures/citroen/c5-aircross/max/rv919989/;C5 AIRCROSS;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_mp_prod/pictures/919989/51654034_20260111141010.jpg
MG MG4 Electric 51kWh - 125 kW 2WD;Mg;MG4;Electric 51kWh - 125 kW 2WD;Standard;21 499 €;30 640 €;Économisez 9 141 € (-30%);Dès 206 €/mois;2026;0 km;350km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/mg/mg4/standard/v345577/;MG4;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_655cbb0c5598c.jpg
Renault Clio 5 TCe 90 ch GSR2;Renault;CLIO-5;TCe 90 ch GSR2;Techno;17 999 €;24 100 €;Économisez 6 101 € (-25%);Dès 124 €/mois;2025;0 km;N/A;Essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/clio-5/techno/v343641/;CLIO;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_653925e1b072f.jpg
Peugeot 3008 Hybrid 136 eDCS6;Peugeot;3008;Hybrid 136 eDCS6;Allure;25 487 €;40 190 €;N/A;Dès 163 €/mois;2025;30 744 km;N/A;Micro-hybride essence;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/peugeot/3008/allure/rv966040/;3008;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_mp_prod/pictures/966040/51824427_20260121191023.jpg
BYD Seal U 87 kWh - 218 ch;Byd;SEAL-U;87 kWh - 218 ch;Design;37 499 €;45 390 €;N/A;Dès 418 €/mois;2024;2 210 km;500km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/byd/seal-u/design/rv963421/;SEAL;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/963421/image/360/byd-seal-u-design-20260126120708-963421-100001-uhd.jpg
Citroën C3 Aircross Turbo 100 BVM6;Citroen;C3-AIRCROSS;Turbo 100 BVM6;You;17 699 €;21 190 €;Économisez 3 491 € (-16%);Dès 158 €/mois;2026;0 km;N/A;Essence;Manuelle;8 jours;aramisauto;https://www.aramisauto.com/voitures/citroen/c3-aircross/you/v346717/;C3 AIRCROSS;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_695a5ea00f12c.jpg
Toyota C-HR Hybride Rechargeable 225;Toyota;C-HR;Hybride Rechargeable 225;Design;29 999 €;41 650 €;Économisez 11 651 € (-28%);Dès 235 €/mois;2025;0 km;N/A;Hybride essence rechargeable;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/toyota/c-hr/design/v346300/;C-HR;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_6543f6a4583fe.jpg
Peugeot 3008 1.2 Puretech 130 BVM6;Peugeot;3008;1.2 Puretech 130 BVM6;Allure Suréquipée;11 499 €;N/A;N/A;Dès 192 €/mois;2019;85 070 km;N/A;Essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/peugeot/3008/allure/rv969759/;3008;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/969759/image/360/peugeot-3008-allure-20260213173708-969759-100001-uhd.jpg
BYD Atto 3 60,5 kWh 204 ch;Byd;ATTO-3;60,5 kWh 204 ch;Comfort;29 999 €;38 990 €;Économisez 8 991 € (-23%);Dès 276 €/mois;2025;0 km;420km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/byd/atto-3/comfort/v346322/;ATTO-3;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_6762d00eb7531.jpg
Peugeot 208 1.2 PureTech 68 BVM5;Peugeot;208;1.2 PureTech 68 BVM5;Like;7 999 €;N/A;N/A;Dès 141 €/mois;2019;70 960 km;N/A;Essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/peugeot/208/like/rv979232/;208;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/979232/image/360/peugeot-208-like-20260318125209-979232-100001-uhd.jpg
Citroën C3 1.2 TURBO 100 BVM SOCIETE;Citroen;C3;1.2 TURBO 100 BVM SOCIETE;PRO;15 399 €;20 400 €;Économisez 5 001 € (-25%);Dès 207 €/mois;2025;0 km;N/A;Essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/citroen/c3/pro/v343847/;C3;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_mp_prod/pictures/972124/52210799_20260214141007.jpg
Peugeot 2008 100 BVM6;Peugeot;2008;100 BVM6;Style;16 999 €;28 750 €;N/A;Dès 126 €/mois;2025;27 823 km;N/A;Essence;Manuelle;12 jours;aramisauto;https://www.aramisauto.com/voitures/peugeot/2008/style/rv982181/;2008;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_mp_prod/pictures/982181/52839163_20260323131044.jpg
Renault Clio 5 1.0 TCe 90 BVM6;Renault;CLIO-5;1.0 TCe 90 BVM6;Esprit Alpine;19 599 €;25 800 €;N/A;Dès 147 €/mois;2025;20 105 km;N/A;Essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/clio-5/esprit-alpine/rv973740/;CLIO;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/973740/image/360/renault-clio-5-esprit-alpine-20260310163708-973740-100001-uhd.jpg
Citroën C3 Aircross Hybride 145 e-DCS6;Citroen;C3-AIRCROSS;Hybride 145 e-DCS6;Max;24 199 €;28 700 €;Économisez 4 501 € (-16%);Dès 188 €/mois;2026;0 km;N/A;Micro-hybride essence;Auto.;5 jours;aramisauto;https://www.aramisauto.com/voitures/citroen/c3-aircross/max/v345729/;C3 AIRCROSS;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_695a5e9b007f0.jpg
Hyundai Tucson 1.6 T-GDI 239 Hybrid BVA6;Hyundai;TUCSON;1.6 T-GDI 239 Hybrid BVA6;Executive;33 499 €;47 600 €;Économisez 14 101 € (-30%);Dès 192 €/mois;2026;0 km;N/A;Hybride essence;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/hyundai/tucson/executive/v346977/;TUCSON;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_695e643bb5406.jpg
Mini Mini Cooper SE 184ch;Mini;MINI;Cooper SE 184ch;"Edition Camden + Jantes 17""";17 499 €;N/A;N/A;Dès 226 €/mois;2022;30 075 km;201km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/mini/mini/edition-camden/rv967002/;MINI;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/967002/image/360/mini-mini-edition-camden-20260205151152-967002-100001-uhd.jpg
Citroën C3 44.2 kWh - 113ch;Citroen;C3;44.2 kWh - 113ch;You;19 999 €;23 300 €;N/A;Dès 273 €/mois;2025;6 428 km;300km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/citroen/c3/you/rv979595/;C3;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/979595/image/360/citroen-c3-you-20260318130749-979595-100001-uhd.jpg
Renault Clio 5 Blue dCi 100 ch GSR2;Renault;CLIO-5;Blue dCi 100 ch GSR2;Evolution + Caméra AR;20 299 €;24 650 €;Économisez 4 351 € (-18%);Dès 169 €/mois;2026;0 km;N/A;Diesel;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/clio-5/evolution-camera-ar/v346330/;CLIO;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_6539263e0ec10.jpg
